Quantity,UnitPrice,ItemsInCart,OrderYear,OrderQuarter,OrderMonth,OrderDayOfWeek,IsWeekend,OrderMonthSin,OrderMonthCos,HasCoupon,IsDigitalPayment,CartUtilization,AddressNumber,Product_Chair,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Cancelled,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,CouponCode_FREESHIP,CouponCode_NO_COUPON,CouponCode_SAVE10,CouponCode_WINTER15,ReferralSource_Email,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,CouponFamily_Discount10,CouponFamily_FreeShipping,CouponFamily_NoCoupon,CouponFamily_Seasonal15,UnitPriceTier_Budget,UnitPriceTier_High,UnitPriceTier_Luxury,UnitPriceTier_Standard,TotalPrice
5,570.62,7,2023,1,1,2,0,0.49999999999999994,0.8660254037844387,1,1,0.7142857142857143,928,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2853.1
2,151.35,3,2024,3,8,4,0,-0.8660254037844385,-0.5000000000000004,1,1,0.6666666666666666,823,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,302.7
5,550.68,8,2024,1,2,1,0,0.8660254037844386,0.5000000000000001,1,1,0.625,512,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2753.4
1,273.19,5,2023,4,10,6,1,-0.8660254037844386,0.5000000000000001,1,1,0.2,275,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,273.19
4,626.01,8,2025,2,5,3,0,0.49999999999999994,-0.8660254037844387,1,1,0.5,668,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2504.04
2,245.86,4,2023,4,10,0,0,-0.8660254037844386,0.5000000000000001,1,1,0.5,934,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,491.72
1,664.42,6,2025,2,6,1,0,1.2246467991473532e-16,-1.0,1,1,0.16666666666666666,986,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,664.42
5,149.55,9,2023,2,5,4,0,0.49999999999999994,-0.8660254037844387,1,0,0.5555555555555556,706,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,747.75
2,134.28,2,2025,2,4,2,0,0.8660254037844387,-0.4999999999999998,0,1,1.0,904,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,268.56
4,509.38,6,2023,4,11,1,0,-0.5000000000000004,0.8660254037844384,1,1,0.6666666666666666,102,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2037.52
5,625.97,9,2023,4,12,4,0,-2.4492935982947064e-16,1.0,1,1,0.5555555555555556,333,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3129.85
3,49.14,7,2024,1,2,5,1,0.8660254037844386,0.5000000000000001,1,1,0.42857142857142855,831,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,147.42
2,180.5,6,2024,4,10,1,0,-0.8660254037844386,0.5000000000000001,1,1,0.3333333333333333,179,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,361.0
3,201.49,4,2023,3,8,2,0,-0.8660254037844385,-0.5000000000000004,1,1,0.75,903,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,604.47
2,393.33,3,2023,1,3,0,0,1.0,6.123233995736766e-17,1,1,0.6666666666666666,980,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,786.66
1,473.96,3,2023,3,7,0,0,-0.4999999999999997,-0.8660254037844388,0,0,0.3333333333333333,942,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,473.96
2,533.81,3,2023,1,1,1,0,0.49999999999999994,0.8660254037844387,1,1,0.6666666666666666,914,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1067.62
1,423.4,3,2024,1,3,5,1,1.0,6.123233995736766e-17,0,1,0.3333333333333333,382,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,423.4
1,431.44,3,2025,1,3,2,0,1.0,6.123233995736766e-17,1,1,0.3333333333333333,891,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,431.44
5,224.0,9,2023,1,1,0,0,0.49999999999999994,0.8660254037844387,1,0,0.5555555555555556,273,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1120.0
5,62.51,9,2023,2,5,0,0,0.49999999999999994,-0.8660254037844387,1,0,0.5555555555555556,587,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,312.55
4,342.95,6,2024,4,11,6,1,-0.5000000000000004,0.8660254037844384,0,0,0.6666666666666666,569,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1371.8
2,49.62,2,2023,1,1,6,1,0.49999999999999994,0.8660254037844387,1,1,1.0,633,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,99.24
4,273.25,5,2025,2,4,2,0,0.8660254037844387,-0.4999999999999998,1,1,0.8,755,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1093.0
2,230.95,3,2024,4,10,2,0,-0.8660254037844386,0.5000000000000001,1,1,0.6666666666666666,956,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,461.9
1,399.98,3,2024,3,7,2,0,-0.4999999999999997,-0.8660254037844388,1,1,0.3333333333333333,709,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,399.98
5,59.55,6,2024,1,3,2,0,1.0,6.123233995736766e-17,0,1,0.8333333333333334,296,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,297.75
1,472.74,6,2024,1,2,3,0,0.8660254037844386,0.5000000000000001,1,1,0.16666666666666666,881,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,472.74
4,160.07,5,2023,4,11,1,0,-0.5000000000000004,0.8660254037844384,0,1,0.8,568,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,640.28
3,423.53,6,2024,3,9,4,0,-1.0,-1.8369701987210297e-16,1,1,0.5,930,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1270.59
2,426.7,5,2025,1,3,5,1,1.0,6.123233995736766e-17,1,1,0.4,895,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,853.4
3,500.08,6,2023,2,6,4,0,1.2246467991473532e-16,-1.0,0,1,0.5,996,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1500.24
5,536.72,10,2023,2,5,0,0,0.49999999999999994,-0.8660254037844387,0,0,0.5,830,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2683.6
1,162.77,4,2023,2,6,0,0,1.2246467991473532e-16,-1.0,1,1,0.25,912,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,162.77
4,576.52,5,2023,1,1,5,1,0.49999999999999994,0.8660254037844387,1,1,0.8,926,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2306.08
2,465.15,2,2024,4,12,5,1,-2.4492935982947064e-16,1.0,1,1,1.0,128,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,930.3
2,534.43,5,2025,2,5,3,0,0.49999999999999994,-0.8660254037844387,0,1,0.4,465,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1068.86
2,76.74,7,2024,4,10,0,0,-0.8660254037844386,0.5000000000000001,1,0,0.2857142857142857,409,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,153.48
1,245.89,3,2024,4,12,3,0,-2.4492935982947064e-16,1.0,1,1,0.3333333333333333,549,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,245.89
3,256.46,4,2025,1,2,3,0,0.8660254037844386,0.5000000000000001,1,1,0.75,666,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,769.38
2,344.02,4,2023,3,8,6,1,-0.8660254037844385,-0.5000000000000004,1,1,0.5,267,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,688.04
3,611.45,4,2023,4,12,1,0,-2.4492935982947064e-16,1.0,1,1,0.75,657,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1834.35
2,151.66,6,2024,2,5,0,0,0.49999999999999994,-0.8660254037844387,0,0,0.3333333333333333,980,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,303.32
3,499.21,8,2023,4,12,3,0,-2.4492935982947064e-16,1.0,0,1,0.375,871,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1497.63
2,550.18,3,2025,2,4,0,0,0.8660254037844387,-0.4999999999999998,1,1,0.6666666666666666,996,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1100.36
1,317.25,1,2024,1,2,5,1,0.8660254037844386,0.5000000000000001,1,1,1.0,157,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,317.25
4,550.14,4,2024,2,6,2,0,1.2246467991473532e-16,-1.0,1,1,1.0,223,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2200.56
2,209.94,3,2023,3,7,2,0,-0.4999999999999997,-0.8660254037844388,1,1,0.6666666666666666,323,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,419.88
2,80.77,4,2023,3,8,5,1,-0.8660254037844385,-0.5000000000000004,0,1,0.5,464,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,161.54
1,30.44,1,2023,4,10,5,1,-0.8660254037844386,0.5000000000000001,1,1,1.0,633,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,30.44
1,179.22,6,2023,3,7,0,0,-0.4999999999999997,-0.8660254037844388,1,1,0.16666666666666666,446,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,179.22
1,388.33,2,2024,4,12,0,0,-2.4492935982947064e-16,1.0,1,0,0.5,434,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,388.33
1,586.44,5,2024,3,9,6,1,-1.0,-1.8369701987210297e-16,1,1,0.2,232,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,586.44
4,488.78,5,2024,2,5,5,1,0.49999999999999994,-0.8660254037844387,1,1,0.8,512,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1955.12
1,280.25,5,2025,1,3,3,0,1.0,6.123233995736766e-17,1,1,0.2,623,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,280.25
3,344.4,3,2025,2,6,1,0,1.2246467991473532e-16,-1.0,0,1,1.0,565,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1033.2
3,479.21,5,2023,2,5,6,1,0.49999999999999994,-0.8660254037844387,1,0,0.6,566,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1437.63
5,314.27,6,2023,1,1,6,1,0.49999999999999994,0.8660254037844387,1,0,0.8333333333333334,842,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1571.35
4,474.69,6,2023,1,1,6,1,0.49999999999999994,0.8660254037844387,1,1,0.6666666666666666,202,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1898.76
4,593.27,5,2024,3,9,2,0,-1.0,-1.8369701987210297e-16,0,1,0.8,811,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2373.08
1,417.1,3,2024,3,8,2,0,-0.8660254037844385,-0.5000000000000004,1,1,0.3333333333333333,634,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,417.1
4,122.2,7,2024,1,3,6,1,1.0,6.123233995736766e-17,1,0,0.5714285714285714,104,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,488.8
2,43.15,3,2023,3,8,1,0,-0.8660254037844385,-0.5000000000000004,1,1,0.6666666666666666,691,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,86.3
1,564.86,6,2025,1,2,6,1,0.8660254037844386,0.5000000000000001,1,1,0.16666666666666666,813,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,564.86
3,130.61,4,2025,2,6,2,0,1.2246467991473532e-16,-1.0,1,1,0.75,752,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,391.83
5,81.7,6,2023,4,12,5,1,-2.4492935982947064e-16,1.0,0,1,0.8333333333333334,385,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,408.5
5,127.18,9,2024,4,11,4,0,-0.5000000000000004,0.8660254037844384,1,0,0.5555555555555556,715,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,635.9
4,12.1,8,2024,4,12,0,0,-2.4492935982947064e-16,1.0,0,1,0.5,440,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,48.4
3,490.92,5,2023,4,12,0,0,-2.4492935982947064e-16,1.0,1,1,0.6,709,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1472.76
3,478.65,4,2023,2,5,3,0,0.49999999999999994,-0.8660254037844387,0,1,0.75,552,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1435.95
1,629.21,2,2023,2,5,4,0,0.49999999999999994,-0.8660254037844387,1,1,0.5,384,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,629.21
3,434.45,4,2025,2,6,1,0,1.2246467991473532e-16,-1.0,0,1,0.75,923,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1303.35
4,589.44,5,2024,4,12,6,1,-2.4492935982947064e-16,1.0,0,1,0.8,942,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2357.76
4,433.45,4,2023,2,5,2,0,0.49999999999999994,-0.8660254037844387,0,1,1.0,129,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1733.8
5,90.87,5,2023,2,6,5,1,1.2246467991473532e-16,-1.0,0,0,1.0,622,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,454.35
3,398.17,5,2023,3,9,1,0,-1.0,-1.8369701987210297e-16,1,1,0.6,917,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1194.51
4,382.88,6,2024,1,3,6,1,1.0,6.123233995736766e-17,1,0,0.6666666666666666,239,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1531.52
1,583.18,5,2024,2,5,4,0,0.49999999999999994,-0.8660254037844387,0,1,0.2,348,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,583.18
4,175.36,4,2024,3,8,1,0,-0.8660254037844385,-0.5000000000000004,1,1,1.0,146,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,701.44
2,311.91,2,2025,1,3,0,0,1.0,6.123233995736766e-17,0,1,1.0,103,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,623.82
3,589.56,6,2023,2,6,1,0,1.2246467991473532e-16,-1.0,0,1,0.5,591,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1768.68
2,394.3,6,2023,2,6,3,0,1.2246467991473532e-16,-1.0,1,0,0.3333333333333333,496,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,788.6
4,565.2,9,2024,1,1,4,0,0.49999999999999994,0.8660254037844387,1,1,0.4444444444444444,971,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2260.8
4,540.41,6,2023,3,8,1,0,-0.8660254037844385,-0.5000000000000004,0,1,0.6666666666666666,989,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2161.64
2,165.49,4,2023,3,8,0,0,-0.8660254037844385,-0.5000000000000004,1,1,0.5,967,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,330.98
3,146.73,8,2024,3,9,0,0,-1.0,-1.8369701987210297e-16,1,0,0.375,768,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,440.19
5,643.03,5,2024,2,6,2,0,1.2246467991473532e-16,-1.0,1,1,1.0,447,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3215.15
3,225.11,4,2024,4,10,3,0,-0.8660254037844386,0.5000000000000001,1,0,0.75,915,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,675.33
3,114.81,7,2025,2,6,3,0,1.2246467991473532e-16,-1.0,0,1,0.42857142857142855,318,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,344.43
5,455.33,8,2025,1,2,1,0,0.8660254037844386,0.5000000000000001,1,1,0.625,291,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2276.65
4,182.08,4,2023,3,9,0,0,-1.0,-1.8369701987210297e-16,1,1,1.0,611,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,728.32
5,492.75,6,2023,1,3,2,0,1.0,6.123233995736766e-17,1,0,0.8333333333333334,196,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,2463.75
4,48.61,7,2024,2,6,0,0,1.2246467991473532e-16,-1.0,1,1,0.5714285714285714,203,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,194.44
4,431.01,7,2023,1,1,5,1,0.49999999999999994,0.8660254037844387,0,1,0.5714285714285714,837,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1724.04
